identifier1	identifier2	lemma	median_cleaned	judgments
bib15873371_18950723_145112_197_0003_alto.xml-117-40	bib19277277_18950810_147683_215_0004_alto.xml-174-19	aktiv	4.0	[4, 4]
bib11653792_18070711_146919_28_0002_alto.xml-6-3	bib11653828_18220706_144028_154_0003_alto.xml-4-19	aktiv	2.0	[2, 2]
bib11653792_18070711_146919_28_0002_alto.xml-6-3	bib11653811_18970310_145317_38_0003_alto.xml-96-20	aktiv	3.0	[3, 3]
bib11653828_17950610_144028_129_0003_alto.xml-2-41	bib11653828_18101215_144028_294_0001_alto.xml-0-31	aktiv	4.0	[4, 3, 4]
bib11653828_17950207_144028_31_0002_alto.xml-4-2	bib19223423_18020519_145063_40_0003_alto.xml-2-1	aktiv	1.0	[1, 1]
bib15873371_18950318_145112_76_0003_alto.xml-113-42	bib19277277_18951225_147683_352_0004_alto.xml-114-1	aktiv	3.0	[3, 4, 3]
bib11653828_18270228_144028_49_0003_alto.xml-7-28	bib15978012_18950617_148361_138_0002_alto.xml-38-1	aktiv	3.0	[3, 3]
bib11653828_18060329_144028_72_0002_alto.xml-1-29	bib15760600_18950820_146401_98_0003_alto.xml-179-9	aktiv	3.0	[3, 3]
bib11653828_18060329_144028_72_0002_alto.xml-1-29	bib15873371_18951021_145112_287_0003_alto.xml-177-9	aktiv	4.0	[4, 4]
bib11653828_17950207_144028_31_0002_alto.xml-4-2	bib15760600_18950820_146401_98_0003_alto.xml-179-9	aktiv	3.0	[3, 3]
bib11653828_18271004_144028_232_0001_alto.xml-2-6	bib15975090_18960922_148377_118_0003_alto.xml-99-15	aktiv	4.0	[4, 4]
bib15873371_18951021_145112_287_0003_alto.xml-177-9	bib19277277_18950314_147683_72_0006_alto.xml-223-11	aktiv	1.0	[1, 1]
bib11653811_18991216_145317_194_0006_alto.xml-62-22	bib15873936_18961017_147385_121_0002_alto.xml-133-3	aktiv	4.0	[4, 4]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib19277349_18950919_147403_120_0001_alto.xml-47-4	aktiv	4.0	[4, 4, 3]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib19227462_18950209_147640_34_0003_alto.xml-9-3	aktiv	4.0	[4, 4]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib19225772_18121007_148004_114_0001_alto.xml-0-4	aktiv	4.0	[4, 4]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib19225758_18950504_144022_103_0006_alto.xml-194-5	aktiv	4.0	[4, 4, 4]
bib19223423_18020519_145063_40_0003_alto.xml-2-1	bib19225758_18950424_144022_94_0001_alto.xml-46-1	aktiv	1.0	[1, 1]
bib19223423_18020519_145063_40_0003_alto.xml-2-1	bib19225758_18950504_144022_103_0006_alto.xml-194-5	aktiv	1.0	[1, 1]
bib19223423_18020519_145063_40_0003_alto.xml-2-1	bib19277277_18291030_147682_252_0006_alto.xml-17-9	aktiv	1.0	[1, 1]
bib11653828_17950610_144028_129_0003_alto.xml-2-41	bib19277277_18291030_147682_252_0006_alto.xml-17-9	aktiv	3.0	[3, 3]
bib15760600_18950507_146401_54_0004_alto.xml-17-6	bib15873936_18961017_147385_121_0002_alto.xml-133-3	aktiv	4.0	[4, 4]
bib11653811_18980202_145317_18_0003_alto.xml-27-4	bib11653828_18290314_144028_61_0004_alto.xml-3-16	aktiv	3.0	[3, 3]
bib11653828_17950610_144028_129_0003_alto.xml-2-41	bib15873371_18950827_145112_232_0002_alto.xml-205-19	aktiv	3.0	[2, 3, 3]
bib19225772_18220104_148004_2_0001_alto.xml-3-5	bib19227462_18951001_147640_228_0002_alto.xml-50-39	aktiv	4.0	[4, 4]
bib11653828_17950610_144028_129_0003_alto.xml-2-41	bib11653828_18260708_144028_155_0002_alto.xml-3-23	aktiv	3.0	[3, 3]
bib11653811_19020127_145317_14_0003_alto.xml-92-6	bib15873371_18950227_145112_57_0002_alto.xml-40-21	aktiv	4.0	[4, 4]
bib15873936_18961017_147385_121_0002_alto.xml-133-3	bib19277277_18950128_147683_27_0010_alto.xml-75-12	aktiv	4.0	[4, 4]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib11653830_18960309_146968_20_0001_alto.xml-41-23	aktiv	3.0	[3, 3]
bib11653828_18260708_144028_155_0002_alto.xml-3-23	bib15650837_18950401_146391_76_0004_alto.xml-25-2	aktiv	4.0	[4, 4]
bib11653828_18101215_144028_294_0001_alto.xml-0-31	bib19277277_18950314_147683_72_0006_alto.xml-223-11	aktiv	1.0	[1, 1]
bib11653828_18101215_144028_294_0001_alto.xml-0-31	bib19227291_18960820_145289_100_0002_alto.xml-58-50	aktiv	4.0	[4, 4]
bib19225758_18950424_144022_94_0001_alto.xml-46-1	bib19277277_18950314_147683_72_0006_alto.xml-223-11	aktiv	1.0	[1, 1]
bib19225758_18950503_144022_102_0002_alto.xml-196-18	bib19277277_18290220_147682_42_0001_alto.xml-4-68	aktiv	4.0	[4, 4]
bib15650837_17950826_146391_68_0003_alto.xml-1-5	bib15873371_18950617_145112_162_0002_alto.xml-187-24	aktiv	3.0	[3, 3]
bib11653828_17941128_144028_273_0003_alto.xml-9-30	bib19223423_18020519_145063_40_0003_alto.xml-2-1	aktiv	1.0	[1, 1]
bib11653828_18220706_144028_154_0003_alto.xml-4-19	bib11653828_18270228_144028_49_0003_alto.xml-7-28	aktiv	4.0	[4, 4]
bib11653830_18960309_146968_20_0001_alto.xml-41-23	bib15978012_18950617_148361_138_0002_alto.xml-38-1	aktiv	4.0	[4, 4]
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib19277349_18950919_147403_120_0001_alto.xml-47-4	aktiv	4.0	[4, 4]
bib11653811_18970310_145317_38_0003_alto.xml-96-20	bib19227462_18950419_147640_90_0004_alto.xml-104-7	aktiv	1.0	[1, 1]
bib11653828_18300212_144028_35_0002_alto.xml-11-61	bib19225758_18950820_144022_192_0002_alto.xml-0-10	aktiv	4.0	[4, 4]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib15975090_18960922_148377_118_0003_alto.xml-99-15	aktiv	4.0	[4, 4]
bib11653828_18300212_144028_35_0002_alto.xml-11-61	bib19227462_18950221_147640_44_0003_alto.xml-41-27	aktiv	3.0	[4, 3, 3]
bib11653828_17920619_144028_139_0001_alto.xml-2-3	bib15873371_18950613_145112_158_0003_alto.xml-50-28	aktiv	2.0	[2, 2]
bib11653830_18961026_146968_86_0003_alto.xml-70-10	bib19223423_18290812_145063_64_0002_alto.xml-3-1	aktiv	4.0	[4, 4]
bib11653811_18970310_145317_38_0003_alto.xml-96-20	bib15978012_18950405_148361_80_0002_alto.xml-144-31	aktiv	3.0	[3, 3]
bib11653828_17921106_144028_257_0003_alto.xml-11-8	bib13506739_18160401_144030_76_0004_alto.xml-2-6	aktiv	4.0	[4, 4]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib19277277_18951225_147683_352_0004_alto.xml-114-1	aktiv	4.0	[4, 4]
bib11653828_17920703_144028_151_0003_alto.xml-19-20	bib19520388_18000108_147487_2_0004_alto.xml-4-21	aktiv	4.0	[4, 4]
bib11653828_18290707_144028_153_0003_alto.xml-23-23	bib19227462_18950427_147640_97_0005_alto.xml-108-12	aktiv	4.0	[4, 4]
bib11653828_18300212_144028_35_0002_alto.xml-11-61	bib19227291_18960820_145289_100_0002_alto.xml-58-50	aktiv	3.0	[3, 3]
bib11653828_18170913_144028_212_0002_alto.xml-0-16	bib19227462_18950427_147640_97_0005_alto.xml-108-12	aktiv	2.0	[2, 2]
bib11653790_18950222_145648_9_0002_alto.xml-131-8	bib11653828_17950610_144028_129_0003_alto.xml-2-41	aktiv	3.0	[3, 3]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib15873371_18950111_145112_10_0002_alto.xml-15-25	aktiv	4.0	[4, 4]
bib11653828_18290707_144028_153_0003_alto.xml-23-23	bib19223423_18190331_145063_26_0002_alto.xml-1-61	aktiv	4.0	[4, 4, 4]
bib11653828_17920619_144028_139_0001_alto.xml-2-3	bib19225758_18950820_144022_192_0002_alto.xml-0-10	aktiv	2.0	[2, 2, 3]
bib11653828_17921106_144028_257_0003_alto.xml-11-8	bib15760600_18950614_146401_70_0002_alto.xml-65-12	aktiv	4.0	[4, 4]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib19277277_18950128_147683_27_0010_alto.xml-75-12	aktiv	4.0	[4, 4]
bib11653790_18990728_145648_58_0003_alto.xml-125-15	bib11653828_17950610_144028_129_0003_alto.xml-2-41	aktiv	4.0	[4, 4]
bib19277277_18950128_147683_27_0010_alto.xml-75-12	bib19277349_18950919_147403_120_0001_alto.xml-47-4	aktiv	4.0	[4, 4]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib19227291_18951109_145289_134_0002_alto.xml-93-8	anda	1.0	[1, 1]
bib11653811_19000526_145317_80_0002_alto.xml-90-23	bib11653828_17960208_144028_31_0003_alto.xml-12-31	anda	4.0	[4, 4]
bib11653790_18970914_145648_72_0002_alto.xml-74-11	bib13506739_18261018_144030_231_0001_alto.xml-11-8	anda	4.0	[4, 4]
bib13506739_18261018_144030_231_0001_alto.xml-11-8	bib19277346_18171011_147394_41_0002_alto.xml-8-9	anda	4.0	[4, 4]
bib11653828_18180606_144028_127_0002_alto.xml-1-17	bib19227291_18230409_145289_15_0002_alto.xml-14-19	anda	4.0	[4, 4]
bib11653790_18970914_145648_72_0002_alto.xml-74-11	bib11653828_18171117_144028_266_0011_alto.xml-7-22	anda	4.0	[4, 4]
bib11653811_19020310_145317_38_0002_alto.xml-30-10	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653811_19000526_145317_80_0002_alto.xml-90-23	bib15650814_18950924_146365_223_0002_alto.xml-132-15	anda	4.0	[4, 4]
bib11653828_18180610_144028_130_0001_alto.xml-2-30	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib19223423_18000514_145063_39_0004_alto.xml-6-24	anda	1.0	[1, 1]
bib11653811_19000526_145317_80_0002_alto.xml-90-23	bib11653828_18230917_144028_215_0003_alto.xml-5-15	anda	4.0	[4, 4]
bib11653828_18180606_144028_127_0002_alto.xml-1-17	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib13506739_18261018_144030_231_0001_alto.xml-11-8	bib19227462_18950329_147640_74_0002_alto.xml-100-39	anda	4.0	[4, 4]
bib11653828_18211002_144028_230_0003_alto.xml-7-15	bib19225792_18111116_147359_46_0002_alto.xml-0-43	anda	1.0	[1, 1]
bib15873371_18950517_145112_133_0002_alto.xml-35-14	bib15975090_18960818_148377_102_0002_alto.xml-65-48	anda	4.0	[4, 4]
bib11653811_19030223_145317_31_0004_alto.xml-6-48	bib19227462_18950524_147640_119_0005_alto.xml-154-2	anda	1.0	[1, 1]
bib11653828_18211002_144028_230_0003_alto.xml-7-15	bib19277277_18951101_147683_298_0006_alto.xml-17-59	anda	4.0	[4, 4, 3]
bib11653811_18980314_145317_41_0002_alto.xml-93-6	bib15873936_18950622_147385_73_0002_alto.xml-77-34	anda	1.0	[1, 1, 1]
bib11653828_18260412_144028_83_0001_alto.xml-9-9	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653828_18260412_144028_83_0001_alto.xml-9-9	bib19277301_18950610_145146_47_0002_alto.xml-74-14	anda	4.0	[4, 4]
bib11653828_18280415_144028_87_0002_alto.xml-12-7	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1, 1]
bib11653828_18211002_144028_230_0003_alto.xml-7-15	bib11653830_18961001_146968_79_0003_alto.xml-38-14	anda	4.0	[4, 4]
bib11653823_18250929_144010_225_0001_alto.xml-3-27	bib15873371_18950924_145112_260_0002_alto.xml-225-2	anda	1.0	[1, 1]
bib11653823_18250929_144010_225_0001_alto.xml-3-27	bib15873936_18950622_147385_73_0002_alto.xml-77-34	anda	4.0	[3, 4, 4, 4]
bib11653806_18190507_145120_51_0004_alto.xml-3-48	bib11653811_18951016_145317_160_0001_alto.xml-5-10	anda	2.0	[2, 2, 1]
bib11653823_18250929_144010_225_0001_alto.xml-3-27	bib15975090_18960704_148377_82_0003_alto.xml-38-35	anda	1.0	[1, 1]
bib11653790_18970409_145648_28_0003_alto.xml-125-11	bib11653811_18950202_145317_19_0003_alto.xml-7-36	anda	3.0	[2, 3, 3]
bib11653790_18970409_145648_28_0003_alto.xml-125-11	bib11653811_19030228_145317_34_0003_alto.xml-141-18	anda	1.0	[1, 1]
bib11653790_18970409_145648_28_0003_alto.xml-125-11	bib15873371_18950924_145112_260_0002_alto.xml-225-2	anda	1.0	[1, 1, 1]
bib11653790_18970409_145648_28_0003_alto.xml-125-11	bib19277330_18951203_0_143_0001_alto.xml-23-4	anda	2.0	[2, 2]
bib19225758_18951205_144022_284_0003_alto.xml-154-14	bib19277277_18951101_147683_298_0006_alto.xml-17-59	anda	4.0	[4, 4]
bib11653828_18201117_144028_268_0004_alto.xml-11-12	bib11653838_19010816_147024_33_0003_alto.xml-144-27	anda	4.0	[4, 4]
bib11653828_18180117_144028_13_0003_alto.xml-12-25	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653828_18180117_144028_13_0003_alto.xml-12-25	bib15650837_18950726_146391_171_0003_alto.xml-6-56	anda	4.0	[4, 4]
bib11653828_18201117_144028_268_0004_alto.xml-11-12	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653790_19020729_145648_58_0001_alto.xml-43-38	bib19227462_18950329_147640_74_0002_alto.xml-100-39	anda	4.0	[4, 4]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib15978012_18951115_148361_267_0003_alto.xml-18-9	anda	4.0	[4, 4]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib15978012_18950402_148361_77_0002_alto.xml-7-69	anda	1.0	[1, 1]
bib19227291_18230409_145289_15_0002_alto.xml-14-19	bib19277277_18950707_147683_181_0003_alto.xml-81-30	anda	4.0	[4, 4, 4]
bib15650814_18950627_146365_147_0002_alto.xml-182-7	bib15873936_18950622_147385_73_0002_alto.xml-77-34	anda	1.0	[1, 1]
bib11653823_18260821_144010_192_0004_alto.xml-1-88	bib19277301_18950610_145146_47_0002_alto.xml-74-14	anda	4.0	[4, 4]
bib11653811_18980314_145317_41_0002_alto.xml-93-6	bib11653823_18250929_144010_225_0001_alto.xml-3-27	anda	1.0	[1, 1, 1]
bib11653828_18300104_144028_2_0002_alto.xml-2-14	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib11653838_19010809_147024_32_0001_alto.xml-31-45	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib11653838_19001207_147024_49_0003_alto.xml-16-20	anda	4.0	[4, 4, 4]
bib15650814_18951015_146365_241_0003_alto.xml-115-15	bib15760690_18950810_145050_121_0002_alto.xml-8-6	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib11653828_18290214_144028_37_0004_alto.xml-2-69	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib11653811_19030228_145317_34_0003_alto.xml-141-18	anda	4.0	[4, 4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib11653811_18950520_145317_77_0003_alto.xml-86-2	anda	4.0	[4, 4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib11653828_18180610_144028_130_0001_alto.xml-2-30	anda	4.0	[4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib11653828_18211002_144028_230_0003_alto.xml-7-15	anda	4.0	[4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib13506739_18070515_144030_110_0002_alto.xml-0-23	anda	1.0	[1, 1, 1]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib13506739_18291224_144030_299_0012_alto.xml-14-13	anda	4.0	[4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib15650814_18950627_146365_147_0002_alto.xml-182-7	anda	1.0	[1, 1]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib15873371_18950517_145112_133_0002_alto.xml-35-14	anda	4.0	[4, 4]
bib11653790_18981014_145648_79_0005_alto.xml-46-31	bib15873936_18960808_147385_91_0003_alto.xml-148-54	anda	1.0	[1, 1]
bib11653828_18080121_144028_16_0001_alto.xml-5-54	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1, 1]
bib11653828_18080121_144028_16_0001_alto.xml-5-54	bib11653838_19010531_147024_22_0002_alto.xml-192-11	anda	1.0	[1, 1, 1]
bib13506739_18290403_144030_77_0006_alto.xml-10-47	bib19277277_18950707_147683_181_0003_alto.xml-81-30	anda	4.0	[4, 4, 4]
bib11653828_18051128_144028_276_0001_alto.xml-13-15	bib19277301_18961205_145146_101_0003_alto.xml-39-16	anda	1.0	[2, 1, 1]
bib11653823_18260821_144010_192_0004_alto.xml-1-88	bib13506739_18051211_144030_287_0006_alto.xml-5-23	anda	1.0	[1, 1]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib11653811_19020310_145317_38_0002_alto.xml-30-10	anda	4.0	[4, 4]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib11653828_18211002_144028_230_0003_alto.xml-7-15	anda	4.0	[4, 4, 4]
bib11653828_18180610_144028_130_0001_alto.xml-2-30	bib13506739_18070515_144030_110_0002_alto.xml-0-23	anda	1.0	[1, 1]
bib19277277_18950707_147683_181_0003_alto.xml-81-30	bib19277277_18951101_147683_298_0006_alto.xml-17-59	anda	4.0	[4, 4]
bib11653830_18961001_146968_79_0003_alto.xml-38-14	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib19227291_18230409_145289_15_0002_alto.xml-14-19	bib19227291_18970610_145289_69_0002_alto.xml-98-52	anda	4.0	[4, 4]
bib11653828_18280415_144028_87_0002_alto.xml-12-7	bib11653838_19010809_147024_32_0001_alto.xml-31-45	anda	4.0	[4, 4]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib15975090_18960818_148377_102_0002_alto.xml-65-48	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib15761570_18951224_146176_212_0022_alto.xml-124-26	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib15650837_18951213_146391_291_0004_alto.xml-64-20	anda	1.0	[1, 1]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib19277277_18280229_147682_51_0001_alto.xml-15-24	anda	1.0	[1, 1]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib13506739_18291224_144030_299_0012_alto.xml-14-13	anda	1.0	[1, 1, 1]
bib19227291_18230409_145289_15_0002_alto.xml-14-19	bib19277301_18960523_145146_42_0002_alto.xml-8-5	anda	4.0	[4, 4]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib19225772_18100720_148004_81_0001_alto.xml-3-15	anda	4.0	[4, 4]
bib11653838_19031016_147024_42_0001_alto.xml-51-36	bib15650814_18951015_146365_241_0003_alto.xml-115-15	anda	1.0	[1, 1, 1]
bib11653811_18960617_145317_91_0002_alto.xml-169-28	bib19225758_18950108_144022_6_0001_alto.xml-61-25	anda	4.0	[4, 4]
bib11653811_19000328_145317_48_0003_alto.xml-214-6	bib15975090_18950730_148377_89_0004_alto.xml-24-12	anda	1.0	[1, 1]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib15650814_18950924_146365_223_0002_alto.xml-132-15	anda	4.0	[4, 4]
bib11653790_18950215_145648_8_0001_alto.xml-4-18	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653811_18960617_145317_91_0002_alto.xml-169-28	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	4.0	[4, 4]
bib11653811_19020920_145317_144_0003_alto.xml-84-47	bib13506739_18280314_144030_63_0001_alto.xml-23-12	anda	1.0	[1, 2, 1]
bib11653828_18051128_144028_276_0001_alto.xml-13-15	bib11653828_18221202_144028_281_0001_alto.xml-2-15	anda	1.0	[1, 1, 1]
bib11653828_18270130_144028_24_0004_alto.xml-2-9	bib11653830_18980324_146968_24_0003_alto.xml-160-14	anda	1.0	[1, 1]
bib11653811_19000328_145317_48_0003_alto.xml-214-6	bib11653811_19020920_145317_144_0003_alto.xml-84-47	anda	4.0	[4, 4]
bib19225758_18950411_144022_85_0002_alto.xml-178-29	bib19225758_18951205_144022_284_0003_alto.xml-154-14	anda	4.0	[4, 4]
bib11653790_18970209_145648_11_0003_alto.xml-128-6	bib13506739_18280314_144030_63_0001_alto.xml-23-12	anda	4.0	[3, 4, 4]
bib11653838_19010531_147024_22_0002_alto.xml-192-11	bib15760690_18950202_145050_19_0001_alto.xml-67-6	anda	1.0	[1, 1]
bib11653811_19030228_145317_34_0003_alto.xml-141-18	bib11653838_19031016_147024_42_0001_alto.xml-51-36	anda	1.0	[1, 1]
bib11653830_18980324_146968_24_0003_alto.xml-160-14	bib19225792_17940830_147359_35_0006_alto.xml-2-34	anda	1.0	[1, 1]
bib11653830_18980324_146968_24_0003_alto.xml-160-14	bib15873371_18950924_145112_260_0002_alto.xml-225-2	anda	4.0	[4, 4]
