identifier1	identifier2	lemma
modern_corpus_spanish-155141-1071	modern_corpus_spanish-293376-609	actitud
modern_corpus_spanish-155141-1071	modern_corpus_spanish-658926-651	actitud
modern_corpus_spanish-109472-549	old_corpus_spanish-497345-703	actitud
modern_corpus_spanish-155141-1071	old_corpus_spanish-18093-905	actitud
modern_corpus_spanish-155141-1071	old_corpus_spanish-256514-375	actitud
old_corpus_spanish-395151-63	old_corpus_spanish-469520-221	actitud
old_corpus_spanish-469520-221	old_corpus_spanish-472691-449	actitud
modern_corpus_spanish-532602-469	old_corpus_spanish-357435-694	actitud
modern_corpus_spanish-532602-469	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-334692-449	modern_corpus_spanish-532602-469	actitud
modern_corpus_spanish-504951-267	modern_corpus_spanish-668379-731	actitud
modern_corpus_spanish-56183-657	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-334692-449	modern_corpus_spanish-668379-731	actitud
modern_corpus_spanish-334692-449	old_corpus_spanish-76588-305	actitud
modern_corpus_spanish-39873-611	old_corpus_spanish-344792-969	actitud
modern_corpus_spanish-39873-611	modern_corpus_spanish-532602-469	actitud
modern_corpus_spanish-378422-887	old_corpus_spanish-513316-301	actitud
modern_corpus_spanish-378422-887	old_corpus_spanish-121638-213	actitud
modern_corpus_spanish-378422-887	modern_corpus_spanish-672315-135	actitud
modern_corpus_spanish-378422-887	modern_corpus_spanish-56973-657	actitud
modern_corpus_spanish-378422-887	modern_corpus_spanish-56183-657	actitud
modern_corpus_spanish-378422-887	modern_corpus_spanish-532602-469	actitud
modern_corpus_spanish-378422-887	modern_corpus_spanish-504951-267	actitud
modern_corpus_spanish-374189-403	old_corpus_spanish-357435-694	actitud
modern_corpus_spanish-374189-403	modern_corpus_spanish-378422-887	actitud
modern_corpus_spanish-334692-449	old_corpus_spanish-370834-473	actitud
modern_corpus_spanish-56183-657	old_corpus_spanish-18093-905	actitud
old_corpus_spanish-370834-473	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-293376-609	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-56973-657	actitud
modern_corpus_spanish-581047-325	modern_corpus_spanish-672315-135	actitud
old_corpus_spanish-344792-969	old_corpus_spanish-513316-301	actitud
old_corpus_spanish-344792-969	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-581047-325	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-213099-525	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-300330-572	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-236756-549	modern_corpus_spanish-504951-267	actitud
modern_corpus_spanish-236756-549	modern_corpus_spanish-854498-421	actitud
modern_corpus_spanish-236756-549	old_corpus_spanish-18093-905	actitud
old_corpus_spanish-33462-365	old_corpus_spanish-497345-703	actitud
old_corpus_spanish-357435-694	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-109472-549	modern_corpus_spanish-39873-611	actitud
old_corpus_spanish-357435-694	old_corpus_spanish-469520-221	actitud
modern_corpus_spanish-236756-549	modern_corpus_spanish-56183-657	actitud
modern_corpus_spanish-56973-657	old_corpus_spanish-121638-213	actitud
old_corpus_spanish-185426-834	old_corpus_spanish-344157-617	adelante
modern_corpus_spanish-354705-2629	modern_corpus_spanish-474947-570	adelante
modern_corpus_spanish-474947-570	old_corpus_spanish-250126-391	adelante
modern_corpus_spanish-474947-570	old_corpus_spanish-271840-35	adelante
modern_corpus_spanish-354705-2629	modern_corpus_spanish-765718-1088	adelante
modern_corpus_spanish-669671-474	old_corpus_spanish-641497-317	adelante
modern_corpus_spanish-650998-634	old_corpus_spanish-31101-33	adelante
modern_corpus_spanish-148649-488	modern_corpus_spanish-704437-1144	adelante
modern_corpus_spanish-67769-468	modern_corpus_spanish-765718-1088	adelante
modern_corpus_spanish-681931-525	modern_corpus_spanish-704437-1144	adelante
modern_corpus_spanish-681931-525	old_corpus_spanish-133158-625	adelante
modern_corpus_spanish-698253-533	old_corpus_spanish-362145-243	adelante
modern_corpus_spanish-148649-488	modern_corpus_spanish-240227-513	adelante
modern_corpus_spanish-650998-634	old_corpus_spanish-641497-317	adelante
modern_corpus_spanish-704437-1144	old_corpus_spanish-322609-254	adelante
modern_corpus_spanish-650998-634	old_corpus_spanish-588096-339	adelante
modern_corpus_spanish-650998-634	old_corpus_spanish-583893-596	adelante
modern_corpus_spanish-333223-770	old_corpus_spanish-641497-317	adelante
modern_corpus_spanish-159444-770	modern_corpus_spanish-240227-513	adelante
modern_corpus_spanish-159444-770	modern_corpus_spanish-248871-820	adelante
modern_corpus_spanish-159444-770	modern_corpus_spanish-896442-356	adelante
modern_corpus_spanish-765718-1088	modern_corpus_spanish-896442-356	adelante
modern_corpus_spanish-765718-1088	old_corpus_spanish-271840-35	adelante
modern_corpus_spanish-543037-192	old_corpus_spanish-588096-339	adelante
modern_corpus_spanish-893759-234	old_corpus_spanish-592587-910	adelante
modern_corpus_spanish-543037-192	old_corpus_spanish-322609-254	adelante
modern_corpus_spanish-650998-634	modern_corpus_spanish-698253-533	adelante
old_corpus_spanish-185426-834	old_corpus_spanish-504033-91	adelante
modern_corpus_spanish-354705-2629	old_corpus_spanish-399073-67	adelante
modern_corpus_spanish-240227-513	old_corpus_spanish-83916-702	adelante
modern_corpus_spanish-240227-513	modern_corpus_spanish-737135-466	adelante
old_corpus_spanish-73194-588	old_corpus_spanish-83916-702	adelante
old_corpus_spanish-362145-243	old_corpus_spanish-399073-67	adelante
old_corpus_spanish-592587-910	old_corpus_spanish-610193-224	adelante
old_corpus_spanish-344157-617	old_corpus_spanish-83916-702	adelante
old_corpus_spanish-362145-243	old_corpus_spanish-583893-596	adelante
modern_corpus_spanish-248871-820	modern_corpus_spanish-893759-234	adelante
modern_corpus_spanish-265695-351	old_corpus_spanish-176798-247	agradecer
modern_corpus_spanish-265695-351	modern_corpus_spanish-381722-342	agradecer
modern_corpus_spanish-134011-300	modern_corpus_spanish-247735-612	agradecer
modern_corpus_spanish-379088-310	old_corpus_spanish-285132-26	agradecer
modern_corpus_spanish-379088-310	modern_corpus_spanish-879494-236	agradecer
modern_corpus_spanish-155297-1092	modern_corpus_spanish-82191-828	agradecer
modern_corpus_spanish-155297-1092	modern_corpus_spanish-427865-261	agradecer
modern_corpus_spanish-69193-515	old_corpus_spanish-516364-461	agradecer
modern_corpus_spanish-155297-1092	modern_corpus_spanish-249655-541	agradecer
modern_corpus_spanish-134781-395	old_corpus_spanish-285132-26	agradecer
modern_corpus_spanish-80197-794	old_corpus_spanish-176798-247	agradecer
modern_corpus_spanish-265695-351	modern_corpus_spanish-405670-76	agradecer
modern_corpus_spanish-69193-515	old_corpus_spanish-595759-120	agradecer
modern_corpus_spanish-134781-395	modern_corpus_spanish-80197-794	agradecer
modern_corpus_spanish-155297-1092	modern_corpus_spanish-222095-324	agradecer
old_corpus_spanish-516364-461	old_corpus_spanish-88032-387	agradecer
modern_corpus_spanish-82191-828	old_corpus_spanish-313824-240	agradecer
modern_corpus_spanish-82191-828	old_corpus_spanish-490940-243	agradecer
modern_corpus_spanish-265695-351	modern_corpus_spanish-41600-599	agradecer
modern_corpus_spanish-80197-794	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-134011-300	modern_corpus_spanish-249655-541	agradecer
modern_corpus_spanish-379088-310	old_corpus_spanish-313824-240	agradecer
modern_corpus_spanish-247735-612	modern_corpus_spanish-69193-515	agradecer
modern_corpus_spanish-265695-351	old_corpus_spanish-657046-290	agradecer
modern_corpus_spanish-265695-351	old_corpus_spanish-397863-306	agradecer
old_corpus_spanish-397863-306	old_corpus_spanish-595759-120	agradecer
modern_corpus_spanish-247735-612	modern_corpus_spanish-405670-76	agradecer
modern_corpus_spanish-427865-261	modern_corpus_spanish-69193-515	agradecer
modern_corpus_spanish-427865-261	modern_corpus_spanish-458419-720	agradecer
modern_corpus_spanish-41600-599	old_corpus_spanish-490940-243	agradecer
modern_corpus_spanish-41600-599	old_corpus_spanish-397863-306	agradecer
modern_corpus_spanish-69193-515	old_corpus_spanish-632857-205	agradecer
old_corpus_spanish-313824-240	old_corpus_spanish-632857-205	agradecer
modern_corpus_spanish-155297-1092	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-405670-76	old_corpus_spanish-325329-260	agradecer
modern_corpus_spanish-405670-76	old_corpus_spanish-313824-240	agradecer
modern_corpus_spanish-405670-76	modern_corpus_spanish-80197-794	agradecer
modern_corpus_spanish-337707-281	modern_corpus_spanish-41600-599	agradecer
modern_corpus_spanish-155297-1092	old_corpus_spanish-207216-605	agradecer
modern_corpus_spanish-337707-281	modern_corpus_spanish-879494-236	agradecer
modern_corpus_spanish-381722-342	old_corpus_spanish-325329-260	agradecer
modern_corpus_spanish-155297-1092	old_corpus_spanish-176798-247	agradecer
old_corpus_spanish-313824-240	old_corpus_spanish-657046-290	agradecer
modern_corpus_spanish-379088-310	old_corpus_spanish-325329-260	agradecer
old_corpus_spanish-516364-461	old_corpus_spanish-658205-552	agradecer
old_corpus_spanish-325329-260	old_corpus_spanish-488354-57	agradecer
old_corpus_spanish-271961-232	old_corpus_spanish-490940-243	agradecer
old_corpus_spanish-271961-232	old_corpus_spanish-595759-120	agradecer
old_corpus_spanish-397863-306	old_corpus_spanish-516364-461	agradecer
modern_corpus_spanish-222095-324	modern_corpus_spanish-405670-76	agradecer
modern_corpus_spanish-249655-541	old_corpus_spanish-313824-240	agradecer
modern_corpus_spanish-249655-541	old_corpus_spanish-285132-26	agradecer
modern_corpus_spanish-134011-300	old_corpus_spanish-397863-306	agradecer
modern_corpus_spanish-249655-541	modern_corpus_spanish-405670-76	agradecer
old_corpus_spanish-271961-232	old_corpus_spanish-285132-26	agradecer
modern_corpus_spanish-249655-541	modern_corpus_spanish-381722-342	agradecer
old_corpus_spanish-491927-299	old_corpus_spanish-630172-363	agradecer
old_corpus_spanish-490940-243	old_corpus_spanish-630172-363	agradecer
old_corpus_spanish-176798-247	old_corpus_spanish-488354-57	agradecer
old_corpus_spanish-176798-247	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-249655-541	modern_corpus_spanish-311606-431	agradecer
old_corpus_spanish-207216-605	old_corpus_spanish-630172-363	agradecer
old_corpus_spanish-207216-605	old_corpus_spanish-285132-26	agradecer
modern_corpus_spanish-134011-300	modern_corpus_spanish-155297-1092	agradecer
old_corpus_spanish-491927-299	old_corpus_spanish-657046-290	agradecer
modern_corpus_spanish-247735-612	old_corpus_spanish-630172-363	agradecer
old_corpus_spanish-285132-26	old_corpus_spanish-658205-552	agradecer
modern_corpus_spanish-222095-324	modern_corpus_spanish-879494-236	agradecer
old_corpus_spanish-516364-461	old_corpus_spanish-632857-205	agradecer
old_corpus_spanish-516364-461	old_corpus_spanish-595759-120	agradecer
modern_corpus_spanish-222095-324	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-879494-236	old_corpus_spanish-271961-232	agradecer
modern_corpus_spanish-879494-236	old_corpus_spanish-488354-57	agradecer
modern_corpus_spanish-124632-391	modern_corpus_spanish-337707-281	agradecer
old_corpus_spanish-619667-503	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-222095-324	old_corpus_spanish-397863-306	agradecer
modern_corpus_spanish-134781-395	modern_corpus_spanish-381722-342	agradecer
modern_corpus_spanish-247735-612	old_corpus_spanish-516364-461	agradecer
modern_corpus_spanish-311606-431	modern_corpus_spanish-80197-794	agradecer
old_corpus_spanish-313824-240	old_corpus_spanish-397863-306	agradecer
modern_corpus_spanish-249655-541	old_corpus_spanish-516364-461	agradecer
modern_corpus_spanish-249655-541	old_corpus_spanish-630172-363	agradecer
modern_corpus_spanish-311606-431	modern_corpus_spanish-337707-281	agradecer
old_corpus_spanish-106148-321	old_corpus_spanish-658205-552	agradecer
old_corpus_spanish-106148-321	old_corpus_spanish-325329-260	agradecer
modern_corpus_spanish-761282-320	old_corpus_spanish-253483-427	arena
modern_corpus_spanish-776374-702	old_corpus_spanish-646988-503	arena
modern_corpus_spanish-879447-199	old_corpus_spanish-91125-603	arena
modern_corpus_spanish-804289-283	modern_corpus_spanish-879447-199	arena
old_corpus_spanish-39040-698	old_corpus_spanish-407676-347	arena
modern_corpus_spanish-815133-876	old_corpus_spanish-418593-256	arena
modern_corpus_spanish-555099-553	old_corpus_spanish-253483-427	arena
old_corpus_spanish-646988-503	old_corpus_spanish-650410-562	arena
old_corpus_spanish-646988-503	old_corpus_spanish-682448-849	arena
modern_corpus_spanish-199639-187	modern_corpus_spanish-551582-433	arena
modern_corpus_spanish-791622-333	old_corpus_spanish-253483-427	arena
modern_corpus_spanish-551582-433	old_corpus_spanish-407676-347	arena
modern_corpus_spanish-756174-748	modern_corpus_spanish-815133-876	arena
modern_corpus_spanish-708779-650	old_corpus_spanish-4009-302	arena
modern_corpus_spanish-708779-650	old_corpus_spanish-36272-474	arena
modern_corpus_spanish-243564-634	modern_corpus_spanish-771816-1312	arena
modern_corpus_spanish-243564-634	old_corpus_spanish-36272-474	arena
modern_corpus_spanish-440203-553	modern_corpus_spanish-560327-534	ataque
modern_corpus_spanish-308380-209	modern_corpus_spanish-701549-317	ataque
old_corpus_spanish-239912-418	old_corpus_spanish-306458-444	ataque
modern_corpus_spanish-440203-553	old_corpus_spanish-228755-392	ataque
modern_corpus_spanish-440203-553	old_corpus_spanish-284895-866	ataque
modern_corpus_spanish-447739-815	modern_corpus_spanish-591046-492	ataque
modern_corpus_spanish-447739-815	old_corpus_spanish-239912-418	ataque
modern_corpus_spanish-447739-815	old_corpus_spanish-306458-444	ataque
old_corpus_spanish-268329-186	old_corpus_spanish-415688-273	ataque
modern_corpus_spanish-507986-566	modern_corpus_spanish-554557-488	ataque
modern_corpus_spanish-507986-566	modern_corpus_spanish-591046-492	ataque
modern_corpus_spanish-440203-553	old_corpus_spanish-222117-466	ataque
modern_corpus_spanish-360353-1017	modern_corpus_spanish-507986-566	ataque
modern_corpus_spanish-743442-330	old_corpus_spanish-104404-442	ataque
modern_corpus_spanish-701549-317	old_corpus_spanish-222117-466	ataque
modern_corpus_spanish-360353-1017	modern_corpus_spanish-554557-488	ataque
modern_corpus_spanish-360353-1017	modern_corpus_spanish-76935-574	ataque
old_corpus_spanish-104404-442	old_corpus_spanish-646044-495	ataque
old_corpus_spanish-222117-466	old_corpus_spanish-644250-264	ataque
old_corpus_spanish-222117-466	old_corpus_spanish-646044-495	ataque
modern_corpus_spanish-76935-574	old_corpus_spanish-644250-264	ataque
modern_corpus_spanish-76900-650	old_corpus_spanish-611331-207	ataque
modern_corpus_spanish-701549-317	modern_corpus_spanish-76935-574	ataque
modern_corpus_spanish-76900-650	modern_corpus_spanish-76935-574	ataque
modern_corpus_spanish-748609-458	old_corpus_spanish-239912-418	ataque
modern_corpus_spanish-743442-330	old_corpus_spanish-646044-495	ataque
modern_corpus_spanish-743442-330	old_corpus_spanish-284895-866	ataque
modern_corpus_spanish-743442-330	old_corpus_spanish-239912-418	ataque
modern_corpus_spanish-743442-330	old_corpus_spanish-228755-392	ataque
modern_corpus_spanish-507986-566	old_corpus_spanish-284895-866	ataque
modern_corpus_spanish-701549-317	old_corpus_spanish-644250-264	ataque
modern_corpus_spanish-748609-458	old_corpus_spanish-306458-444	ataque
modern_corpus_spanish-507986-566	old_corpus_spanish-611331-207	ataque
modern_corpus_spanish-507986-566	modern_corpus_spanish-76935-574	ataque
old_corpus_spanish-30350-499	old_corpus_spanish-306458-444	ataque
old_corpus_spanish-415688-273	old_corpus_spanish-678583-180	ataque
modern_corpus_spanish-138845-309	modern_corpus_spanish-873536-504	ataque
modern_corpus_spanish-138845-309	old_corpus_spanish-222117-466	ataque
modern_corpus_spanish-138845-309	old_corpus_spanish-30350-499	ataque
modern_corpus_spanish-554557-488	modern_corpus_spanish-743442-330	ataque
modern_corpus_spanish-554557-488	old_corpus_spanish-436962-304	ataque
modern_corpus_spanish-554557-488	old_corpus_spanish-637610-313	ataque
modern_corpus_spanish-507986-566	old_corpus_spanish-646044-495	ataque
modern_corpus_spanish-560327-534	modern_corpus_spanish-591046-492	ataque
modern_corpus_spanish-591046-492	old_corpus_spanish-644250-264	ataque
modern_corpus_spanish-591046-492	old_corpus_spanish-30350-499	ataque
modern_corpus_spanish-591046-492	modern_corpus_spanish-76900-650	ataque
modern_corpus_spanish-591046-492	modern_corpus_spanish-701549-317	ataque
modern_corpus_spanish-560327-534	modern_corpus_spanish-743442-330	ataque
modern_corpus_spanish-560327-534	old_corpus_spanish-222117-466	ataque
modern_corpus_spanish-560327-534	old_corpus_spanish-306458-444	ataque
modern_corpus_spanish-560327-534	old_corpus_spanish-644250-264	ataque
old_corpus_spanish-342835-231	old_corpus_spanish-415688-273	ataque
old_corpus_spanish-342835-231	old_corpus_spanish-610808-1770	ataque
old_corpus_spanish-342835-231	old_corpus_spanish-611331-207	ataque
modern_corpus_spanish-308380-209	modern_corpus_spanish-560327-534	ataque
old_corpus_spanish-46368-494	old_corpus_spanish-610808-1770	ataque
modern_corpus_spanish-631253-308	modern_corpus_spanish-647961-395	ataque
modern_corpus_spanish-701549-317	modern_corpus_spanish-743442-330	ataque
modern_corpus_spanish-647961-395	modern_corpus_spanish-76935-574	ataque
modern_corpus_spanish-647961-395	old_corpus_spanish-611331-207	ataque
modern_corpus_spanish-647961-395	old_corpus_spanish-306458-444	ataque
modern_corpus_spanish-518042-464	modern_corpus_spanish-76935-574	ataque
modern_corpus_spanish-518042-464	old_corpus_spanish-222117-466	ataque
modern_corpus_spanish-518042-464	old_corpus_spanish-306458-444	ataque
old_corpus_spanish-306458-444	old_corpus_spanish-637610-313	ataque
old_corpus_spanish-30350-499	old_corpus_spanish-610808-1770	ataque
modern_corpus_spanish-631253-308	old_corpus_spanish-284895-866	ataque
modern_corpus_spanish-518042-464	modern_corpus_spanish-554557-488	ataque
modern_corpus_spanish-631253-308	modern_corpus_spanish-76935-574	ataque
modern_corpus_spanish-631253-308	modern_corpus_spanish-748609-458	ataque
modern_corpus_spanish-518042-464	modern_corpus_spanish-701549-317	ataque
modern_corpus_spanish-182554-415	old_corpus_spanish-645525-384	atrás
old_corpus_spanish-119895-510	old_corpus_spanish-31203-414	atrás
modern_corpus_spanish-899921-789	old_corpus_spanish-320709-441	atrás
modern_corpus_spanish-899921-789	old_corpus_spanish-54051-298	atrás
modern_corpus_spanish-889732-166	old_corpus_spanish-227409-785	atrás
modern_corpus_spanish-567989-422	modern_corpus_spanish-757316-287	atrás
modern_corpus_spanish-567989-422	old_corpus_spanish-645525-384	atrás
modern_corpus_spanish-567989-422	modern_corpus_spanish-899921-789	atrás
modern_corpus_spanish-567989-422	old_corpus_spanish-54051-298	atrás
modern_corpus_spanish-870405-304	old_corpus_spanish-46025-207	atrás
modern_corpus_spanish-567989-422	old_corpus_spanish-95200-389	atrás
modern_corpus_spanish-648784-438	modern_corpus_spanish-757316-287	atrás
old_corpus_spanish-350221-718	old_corpus_spanish-475339-480	atrás
modern_corpus_spanish-578573-602	old_corpus_spanish-281017-188	atrás
old_corpus_spanish-142516-203	old_corpus_spanish-645525-384	atrás
modern_corpus_spanish-188019-925	modern_corpus_spanish-578573-602	atrás
modern_corpus_spanish-648784-438	old_corpus_spanish-142516-203	atrás
modern_corpus_spanish-567989-422	modern_corpus_spanish-804634-219	atrás
modern_corpus_spanish-182554-415	modern_corpus_spanish-861286-180	atrás
modern_corpus_spanish-627278-1076	old_corpus_spanish-475339-480	atrás
modern_corpus_spanish-112948-474	modern_corpus_spanish-578573-602	atrás
modern_corpus_spanish-682058-327	old_corpus_spanish-383117-384	atrás
modern_corpus_spanish-627278-1076	old_corpus_spanish-142516-203	atrás
old_corpus_spanish-31203-414	old_corpus_spanish-54051-298	atrás
old_corpus_spanish-227409-785	old_corpus_spanish-645525-384	atrás
old_corpus_spanish-227409-785	old_corpus_spanish-286491-655	atrás
old_corpus_spanish-239939-236	old_corpus_spanish-54051-298	atrás
modern_corpus_spanish-112948-474	modern_corpus_spanish-804634-219	atrás
modern_corpus_spanish-671776-391	old_corpus_spanish-54051-298	atrás
modern_corpus_spanish-671776-391	old_corpus_spanish-119895-510	atrás
modern_corpus_spanish-112948-474	modern_corpus_spanish-627278-1076	atrás
modern_corpus_spanish-728959-477	modern_corpus_spanish-889732-166	atrás
modern_corpus_spanish-671776-391	modern_corpus_spanish-861286-180	atrás
modern_corpus_spanish-214910-477	modern_corpus_spanish-841951-266	atrás
modern_corpus_spanish-214910-477	old_corpus_spanish-46025-207	atrás
old_corpus_spanish-286491-655	old_corpus_spanish-339750-507	atrás
modern_corpus_spanish-182554-415	modern_corpus_spanish-804769-276	atrás
modern_corpus_spanish-78648-333	old_corpus_spanish-73170-842	atrás
modern_corpus_spanish-804769-276	modern_corpus_spanish-870405-304	atrás
old_corpus_spanish-334899-282	old_corpus_spanish-99178-440	avance
old_corpus_spanish-334899-282	old_corpus_spanish-85280-666	avance
old_corpus_spanish-334899-282	old_corpus_spanish-81008-248	avance
old_corpus_spanish-334899-282	old_corpus_spanish-645809-456	avance
old_corpus_spanish-334899-282	old_corpus_spanish-335779-380	avance
modern_corpus_spanish-576205-291	old_corpus_spanish-625200-662	avance
old_corpus_spanish-303990-263	old_corpus_spanish-81008-248	avance
old_corpus_spanish-335779-380	old_corpus_spanish-365363-476	avance
old_corpus_spanish-303990-263	old_corpus_spanish-576001-540	avance
modern_corpus_spanish-237857-237	old_corpus_spanish-97958-492	avance
modern_corpus_spanish-237857-237	old_corpus_spanish-99178-440	avance
old_corpus_spanish-228276-635	old_corpus_spanish-645809-456	avance
old_corpus_spanish-303990-263	old_corpus_spanish-85280-666	avance
old_corpus_spanish-228276-635	old_corpus_spanish-645699-972	avance
old_corpus_spanish-335779-380	old_corpus_spanish-645809-456	avance
modern_corpus_spanish-219179-707	old_corpus_spanish-85280-666	avance
old_corpus_spanish-85280-666	old_corpus_spanish-99608-256	avance
old_corpus_spanish-81008-248	old_corpus_spanish-85280-666	avance
old_corpus_spanish-645809-456	old_corpus_spanish-98706-262	avance
old_corpus_spanish-576001-540	old_corpus_spanish-97958-492	avance
old_corpus_spanish-576001-540	old_corpus_spanish-625200-662	avance
modern_corpus_spanish-339977-335	old_corpus_spanish-99178-440	avance
modern_corpus_spanish-339977-335	old_corpus_spanish-85280-666	avance
modern_corpus_spanish-339977-335	old_corpus_spanish-645809-456	avance
old_corpus_spanish-366155-561	old_corpus_spanish-99608-256	avance
old_corpus_spanish-366155-561	old_corpus_spanish-85280-666	avance
old_corpus_spanish-366155-561	old_corpus_spanish-645809-456	avance
old_corpus_spanish-366155-561	old_corpus_spanish-645699-972	avance
old_corpus_spanish-365363-476	old_corpus_spanish-576001-540	avance
modern_corpus_spanish-219179-707	modern_corpus_spanish-339977-335	avance
modern_corpus_spanish-219179-707	modern_corpus_spanish-571484-698	avance
modern_corpus_spanish-219179-707	modern_corpus_spanish-712103-339	avance
modern_corpus_spanish-339977-335	old_corpus_spanish-645699-972	avance
modern_corpus_spanish-339977-335	old_corpus_spanish-335779-380	avance
old_corpus_spanish-228276-635	old_corpus_spanish-335779-380	avance
old_corpus_spanish-222081-1910	old_corpus_spanish-99178-440	avance
modern_corpus_spanish-576205-291	old_corpus_spanish-161204-303	avance
modern_corpus_spanish-613567-808	old_corpus_spanish-366155-561	avance
modern_corpus_spanish-613567-808	modern_corpus_spanish-620940-628	avance
modern_corpus_spanish-560652-311	old_corpus_spanish-365363-476	avance
modern_corpus_spanish-601796-409	old_corpus_spanish-85280-666	avance
modern_corpus_spanish-601796-409	old_corpus_spanish-645809-456	avance
modern_corpus_spanish-601796-409	old_corpus_spanish-625200-662	avance
modern_corpus_spanish-601796-409	modern_corpus_spanish-620940-628	avance
modern_corpus_spanish-560652-311	old_corpus_spanish-576001-540	avance
modern_corpus_spanish-560652-311	old_corpus_spanish-99608-256	avance
modern_corpus_spanish-576205-291	old_corpus_spanish-99178-440	avance
modern_corpus_spanish-571484-698	old_corpus_spanish-228276-635	avance
modern_corpus_spanish-571484-698	old_corpus_spanish-98706-262	avance
modern_corpus_spanish-576205-291	modern_corpus_spanish-613567-808	avance
modern_corpus_spanish-576205-291	old_corpus_spanish-98706-262	avance
modern_corpus_spanish-576205-291	old_corpus_spanish-85280-666	avance
modern_corpus_spanish-620940-628	old_corpus_spanish-335779-380	avance
old_corpus_spanish-228276-635	old_corpus_spanish-303990-263	avance
modern_corpus_spanish-560652-311	old_corpus_spanish-335779-380	avance
modern_corpus_spanish-673729-869	modern_corpus_spanish-712103-339	avance
old_corpus_spanish-222081-1910	old_corpus_spanish-85280-666	avance
modern_corpus_spanish-438354-323	old_corpus_spanish-576001-540	avance
modern_corpus_spanish-49973-725	modern_corpus_spanish-601796-409	avance
modern_corpus_spanish-49973-725	modern_corpus_spanish-673729-869	avance
modern_corpus_spanish-49973-725	old_corpus_spanish-303990-263	avance
modern_corpus_spanish-49973-725	old_corpus_spanish-576001-540	avance
modern_corpus_spanish-832971-370	old_corpus_spanish-98706-262	avance
modern_corpus_spanish-832971-370	old_corpus_spanish-81008-248	avance
modern_corpus_spanish-832971-370	old_corpus_spanish-645699-972	avance
modern_corpus_spanish-832971-370	old_corpus_spanish-115424-829	avance
modern_corpus_spanish-560652-311	modern_corpus_spanish-712103-339	avance
modern_corpus_spanish-712103-339	old_corpus_spanish-228276-635	avance
